Irr_area_ha,Precip_mm,WTD_Rnd_Frst_m,WTD_USGS_m,aquifer_state,aquifer_region,aquifer,state,year,month
670547.0,6.532359954679595,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,4
2119605.5,83.92007788444123,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,4
62719.7109375,12.81267650707348,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,4
459596.09375,34.078946871221284,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,4
198363.0,1.917192464858897,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,4
99697.1015625,38.24830962724215,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,4
493466.9375,17.276501751000573,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,4
34634.6953125,18.05400567467304,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,4
174328.15625,52.560375067458175,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,4
166122.75,18.419749866832387,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,4
174377.5,28.40984327631009,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,4
159808.09375,88.67563808900523,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,4
278661.4375,54.22436693147964,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,4
72710.3515625,9.908211471688034,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,4
118923.015625,79.11420641447368,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,4
999.3064575195312,57.880069986979166,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,4
344885.5,29.106644909022933,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,4
953253.125,13.80725074404762,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,4
647752.5625,22.013772458685626,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,4
927129.25,21.746160130718955,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,4
240575.5625,23.740713107073013,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,4
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,4
670547.0,16.175245485525576,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,5
2119605.5,82.3035380063998,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,5
62719.7109375,22.842573836043073,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,5
459596.09375,27.750865956267635,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,5
198363.0,2.0368030684510985,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,5
99697.1015625,18.711547669095665,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,5
493466.9375,55.406113016962074,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,5
34634.6953125,29.613878584004024,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,5
174328.15625,57.29027253103076,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,5
166122.75,30.064040675307766,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,5
174377.5,14.211532995885666,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,5
159808.09375,40.61935945680628,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,5
278661.4375,38.13145093718967,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,5
